Source	Target
a	khat
a little	tawmkhat
a little	tawmcilik
a little	themcik
a little	themcikkhat
a lot	tamkhopkhat
a lot	tampi
a lot of	tampitak
a lot of	tampipi
abandon	nusia
abandon	paisan
abandon	zatloh
abandoned	kinuseta
abandoned	kinuse-khinta
abandoned	nusiatsa
abba	pa, papa,
abbrevition	tomlawhna
abbrevition	tomkaihna
abbrevition	tomlaakna
abdoman	gilpi (lai leh diipmawn kikaalteng)
abdomen	gilpikuamteng
aberrant	lampial
aberrant	paikhial
abhor	kih
abhor	zadah
abhor	mudah
abhor	hua
abhor	ning
abhorence	kihna
abhorence	zaakdahna
abhorence	muhdahna
abhorence	huatna
abhorence	ninna (ningna hilo)
abhorent	kihhuai
abhorent	zaakdahhuai
abhorent	muhdahhuai
abhorent	huathuai
abhorent	ninhuai (ninghuai hilo)
abide	omkhawm
abide	leenkip
abide	thumang
ability	hihtheihna
abject	cimawh-genthei
abject	zawngkhaal
abjection	cihmawh-gentheihna
abjection	zawngkhaalna
abjectness	zawngkhaalna
abjure	kisiikciamna
ablate	heumang
ablate	pulhsiang
ablate	tolsiang
ablate	aatkhia
ablaz	kuangluahluah
ablaz	ngaklahmahmah
able	hihthei
abloom	paakpalh-laitak
abnormal	mibanglo
abnormal	gualbaanlo
aboard	tuang
abolish	phiat
abolish	beisak
abolish	susia
abolished	phiat-maimangzo
abolishment	phiat-maimanna
abort	nausia, nautolh
aborticide	suulnautui-suksiatna
abortion	suulnau-thahna
abortion	nauci-thahna
abortive	lawhcinglo, taksuahlo, gahzolo
abound	dimleet, akuui-avuum
about	tuazahkiim
about	kisai, lamsang
above	atungah
above	zawtham, tungnung
abrade	kiatsiang, nawtsiang, taatsiang, kiatmaai, nawtmaai, taatmaai
abrim	agong dong dim, dimphial
abroad	taanzau
abroad	gampua, gampawlam
abrogate	phiatmaimang
abrupt	hihvat
abscind	ekh, tawntan
absence	omlohna
absence	kihel lohna
absent	omlo
absent	kihello
absent	thumang lo
absent-minded	phawkkhalo
absolutely	kitangaihtakin, adiktakin, siangtakin
absorb	huup, dawn
absorb	tawpkang
absorb	kigawm
abstain	kideek-kidaamna
abstract	kilawngtheilo
abstract	theihhaksa
abstract	ngaihsutna
absurd	kilawm-kituaklo
absurd	haivai
abundance	kicinna
abundance	kiningcinna
abundant	kiningcing
abundant	kicing
abuse	zanghkhial
abuse	kheem
abut	kizom, kimat, kipeh, kigamgi
abuzz	phevulvul-phevalval (adj.)
academy	siamsinna,saanglai-sinna
accelerate	haatsak, kinawhsak
accent	awgin
accent	gingsak
accept	pom, saang, lungkim, thukim
acceptance	pomna, saanna, lungkimna, thukimna
access	luutna
access	vanaihna
accident	tuahsiatna
accident	dongtuahna
accident prone	tuahsiat-theihdeuhna kuam
accommodation	teenna
accommodation	luahna
accompany	paikhawm, tonkhawm, kikhawl, kithuahpih
accomplish	taangtun/matun
accomplished	taangtunzo/matunzo
accord	thukimna, kithukimna
according	tuabangin
according to	tuamah-bangin
account	sumsuutna, sumsimna, sumciaptehna
accountancy	sumsuutna-lamsang
accurate	kituaklian
accurate	kilem-liinlian
